	Time	Distance	Distance_m	Distance_M
0	12250	0.8333333333333334	1.25	0.625
1	12750	0.8333333333333334	1.25	0.625
2	13250	0.8333333333333334	1.25	0.625
3	13750	0.8333333333333334	1.25	0.625
4	14250	0.8333333333333334	1.25	0.625
5	14750	1.1249999999999998	1.5	0.8999999999999999
6	15250	1.1249999999999998	1.5	0.8999999999999999
7	15750	1.1249999999999998	1.5	0.8999999999999999
8	16250	1.1249999999999998	1.5	0.8999999999999999
9	16750	1.1249999999999998	1.5	0.8999999999999999
10	17250	1.1249999999999998	1.5	0.8999999999999999
11	17750	1.0833333333333335	1.3	0.9285714285714287
12	18250	1.0833333333333335	1.3	0.9285714285714287
13	18750	1.0833333333333335	1.3	0.9285714285714287
14	19250	0.8260869565217391	0.7599999999999999	0.9047619047619048
15	19750	0.8260869565217391	0.7599999999999999	0.9047619047619048
16	20250	0.8260869565217391	0.7599999999999999	0.9047619047619048
17	20750	0.8260869565217391	0.7599999999999999	0.9047619047619048
18	21250	0.8260869565217391	0.7599999999999999	0.9047619047619048
19	21750	0.8260869565217391	0.7599999999999999	0.9047619047619048
20	22250	0.8503401360544217	0.8333333333333333	0.8680555555555555
21	22750	0.8503401360544217	0.8333333333333333	0.8680555555555555
22	23250	0.8503401360544217	0.8333333333333333	0.8680555555555555
23	23750	0.9223300970873786	0.8636363636363636	0.9895833333333333
24	24250	0.961337513061651	0.9330628803245437	0.9913793103448276
25	24750	0.961337513061651	0.9330628803245437	0.9913793103448276
26	25250	0.961337513061651	0.9330628803245437	0.9913793103448276
27	25750	0.9560439560439561	0.8877551020408164	1.0357142857142858
28	26250	0.9566862910008411	0.9247967479674798	0.9908536585365854
29	26750	0.9566862910008411	0.9247967479674798	0.9908536585365854
30	27250	0.9566862910008411	0.9247967479674798	0.9908536585365854
31	27750	0.9589041095890412	0.9722222222222223	0.945945945945946
32	28250	0.9589041095890412	0.9722222222222223	0.945945945945946
33	28750	0.9589041095890412	0.9722222222222223	0.945945945945946
34	29250	0.9589041095890412	0.9722222222222223	0.945945945945946
35	29750	0.9589041095890412	0.9722222222222223	0.945945945945946
36	30250	0.9766233766233766	0.996969696969697	0.957090909090909
37	30750	0.9766233766233766	0.996969696969697	0.957090909090909
38	31250	0.9766233766233766	0.996969696969697	0.957090909090909
39	31750	0.9766233766233766	0.996969696969697	0.957090909090909
40	32250	0.9766233766233766	0.996969696969697	0.957090909090909
41	32750	0.9766233766233766	0.996969696969697	0.957090909090909
42	33250	0.9766233766233766	0.996969696969697	0.957090909090909
43	33750	0.9968577034118641	1.0630740967544396	0.9384065587555181
44	34250	0.9968577034118641	1.0630740967544396	0.9384065587555181
45	34750	0.9968577034118641	1.0630740967544396	0.9384065587555181
46	35250	0.9968577034118641	1.0630740967544396	0.9384065587555181
47	35750	0.9968577034118641	1.0630740967544396	0.9384065587555181
48	36250	0.9968577034118641	1.0630740967544396	0.9384065587555181
49	36750	0.9968577034118641	1.0630740967544396	0.9384065587555181
50	37250	1.0088709677419354	1.0973684210526315	0.9335820895522388
51	37750	1.0088709677419354	1.0973684210526315	0.9335820895522388
52	38250	1.0088709677419354	1.0973684210526315	0.9335820895522388
53	38750	1.0088709677419354	1.0973684210526315	0.9335820895522388
54	39250	1.0088709677419354	1.0973684210526315	0.9335820895522388
55	39750	1.0088709677419354	1.0973684210526315	0.9335820895522388
56	40250	1.0127989163468385	1.0501296456352636	0.9780311923528425
57	40750	1.0127989163468385	1.0501296456352636	0.9780311923528425
58	41250	1.0127989163468385	1.0501296456352636	0.9780311923528425
59	41750	1.0127989163468385	1.0501296456352636	0.9780311923528425
60	42250	1.0127989163468385	1.0501296456352636	0.9780311923528425
61	42750	1.0127989163468385	1.0501296456352636	0.9780311923528425
62	43250	1.0206358059118794	1.0664335664335662	0.9786096256684492
63	43750	1.0206358059118794	1.0664335664335662	0.9786096256684492
64	44250	1.0206358059118794	1.0664335664335662	0.9786096256684492
65	44750	1.0206358059118794	1.0664335664335662	0.9786096256684492
66	45250	1.0206358059118794	1.0664335664335662	0.9786096256684492
67	45750	1.0206358059118794	1.0664335664335662	0.9786096256684492
68	46250	1.0046865995889662	1.045967125382263	0.9665407447382622
69	46750	1.0046865995889662	1.045967125382263	0.9665407447382622
70	47250	1.0046865995889662	1.045967125382263	0.9665407447382622
71	47750	1.0046865995889662	1.045967125382263	0.9665407447382622
72	48250	1.0046865995889662	1.045967125382263	0.9665407447382622
73	48750	1.0046865995889662	1.045967125382263	0.9665407447382622
74	49250	1.0231481481481481	1.0551215277777777	0.9930555555555556
75	49750	1.0231481481481481	1.0551215277777777	0.9930555555555556
76	50250	1.0231481481481481	1.0551215277777777	0.9930555555555556
77	50750	1.0231481481481481	1.0551215277777777	0.9930555555555556
78	51250	1.0231481481481481	1.0551215277777777	0.9930555555555556
79	51750	1.0231481481481481	1.0551215277777777	0.9930555555555556
80	52250	1.0231481481481481	1.0551215277777777	0.9930555555555556
81	52750	1.0101380623209397	1.0245686060683816	0.9961083670109265
82	53250	1.026492180019151	1.039431157078216	1.0138713745271124
83	53750	1.026492180019151	1.039431157078216	1.0138713745271124
84	54250	1.026492180019151	1.039431157078216	1.0138713745271124
85	54750	1.026492180019151	1.039431157078216	1.0138713745271124
86	55250	1.0184293258904948	1.0233667660612633	1.0135393003180373
87	55750	1.0184293258904948	1.0233667660612633	1.0135393003180373
88	56250	1.0184293258904948	1.0233667660612633	1.0135393003180373
89	56750	1.0362557416320368	1.032858652443013	1.0396752507255427
90	57250	1.0362557416320368	1.032858652443013	1.0396752507255427
