	bigg_id	gene_name	reaction
820	b0071	leuD	IPPMIb
821	b0072	leuC	IPPMIb
822	b0074	leuA	IPPS
823	b0918	kdsB	KDOCT2
824	b3198	kdsC	KDOPP
825	b1215	kdsA	KDOPS
826	b4196	ulaD	KG6PDC
827	b3581	sgbH	KG6PDC
828	b0697	kdpB	Kabcpp
829	b4513	kdpF	Kabcpp
830	b0698	kdpA	Kabcpp
831	b0696	kdpC	Kabcpp
832	b3747	kup	Kt2pp
833	b1363	trkG	Kt2pp
834	b1250	kch	Kt2pp
835	b3849	trkH	Kt2pp
836	b1291	sapD	Kt2pp
837	b3290	trkA	Kt2pp
838	b0047	kefC	Kt3pp
839	b0842	mdfA	NAt3pp
840	b3350	kefB	Kt3pp
841	b3605	lldD	L__LACD3
842	b0306	ykgE	L__LACD3
843	b0307	ykgF	L__LACD3
844	b0308	ykgG	L__LACD3
845	b2257	arnT	LA4NTpp
846	b0344	lacZ	LACZ
847	b2132	bglX	LACZpp
848	b1326	mpaA	LADGMDH
849	b4130	dtpC	LALALGLUtpp
850	b3496	dtpB	LALALGLUtpp
851	b0709	dtpD	LALALGLUtpp
852	b1634	dtpA	LALALGLUtpp
853	b2799	fucO	LCARS
854	b2170	setB	LCTSt3ipp
855	b0070	setA	LCTSt3ipp
856	b0343	lacY	LCTStpp
857	b1380	ldhA	LDH_D
858	b2133	dld	LDH_D2
859	b4054	tyrB	TYRTA
860	b0642	leuS	LEUTRS
861	b3458	livK	LEUabcpp
862	b1651	gloA	LGTHL
863	b0622	pagP	LIPAHTex
864	b4386	lplA	OCTNLL
865	b0630	lipB	LIPOCT
866	b0628	lipA	LIPOS
867	b0182	lpxB	LPADSS
868	b0494	tesA	LPLIPAL1G181pp
869	b3825	pldB	LPLIPAL2G181
870	b0186	ldcC	LYSDC
871	b4131	cadA	LYSDC
872	b2890	lysS	LYSTRS
873	b2156	lysP	LYSt2pp
874	b3903	rhaA	RMI
875	b3907	rhaT	RMNtpp
876	b3600	mtlD	M1PD
877	b0777	bioC	MALCOAMT
878	b1800	dmlA	MALDDH
879	b4014	aceB	MALS
880	b2976	glcB	MALS
881	b2049	cpsB	MAN1PT2
882	b1613	manA	MAN6PI
883	b4323	uxuB	MANAO
884	b0731	mngA	MANGLYCptspp
885	b0732	mngB	MANPGH
886	b0334	prpD	MCITD
887	b0331	prpB	MCITL2
888	b0333	prpC	MCITS
889	b1092	fabD	MCOATA
890	b2521	sseA	MCPST
891	b0149	mrcB	MPTG2
892	b0635	mrdA	MCTP2App
893	b3396	mrcA	MPTG2
894	b0084	ftsI	MCTP2App
895	b0839	dacC	MDDCP5pp
896	b2010	dacD	MDDCP5pp
897	b3182	dacB	MDDEP4pp
898	b0632	dacA	MDDCP5pp
899	b2134	pbpG	MDDEP4pp
900	b2328	mepA	MDDEP4pp
901	b3236	mdh	MDH
902	b2210	mqo	MDH3
903	b1479	maeA	ME1
904	b2463	maeB	ME2
905	b2515	ispG	MECDPDH5
906	b2746	ispF	MECDPS
907	b4120	melB	MELIBt2pp
908	b2747	ispD	MEPCT
909	b2942	metK	METAT
910	b0199	metN	METabcpp
911	b0197	metQ	METabcpp
912	b0198	metI	METabcpp
913	b4019	metH	METS
914	b3829	metE	METS
915	b4219	msrA	METSOXR1
916	b1778	msrB	METSOXR2
917	b2114	metG	METTRS
918	b4242	mgtA	NI2uabcpp
919	b0963	mgsA	MGSA
920	b0403	malZ	MLTG5
921	b4392	slt	MLTGY4pp
922	b2963	mltC	MLTGY4pp
923	b2558	mltF	MLTGY4pp
924	b2813	mltA	MLTGY4pp
925	b2701	mltB	MLTGY4pp
926	b1193	emtA	MLTGY4pp
927	b2919	scpB	MMCD
928	b0260	mmuP	MMETt2pp
929	b2917	scpA	MMM
930	b3599	mtlA	MNLptspp
931	b4322	uxuA	MNNH
932	b0784	moaD	MPTS
933	b3633	waaA	MOAT2
934	b3624	waaZ	MOAT3C
935	b3917	sbp	TSULabcpp
936	b0763	modA	TUNGSabcpp
937	b2423	cysW	TSULabcpp
938	b0765	modC	TUNGSabcpp
939	b2425	cysP	TSULabcpp
940	b2422	cysA	TSULabcpp
941	b0764	modB	TUNGSabcpp
942	b2424	cysU	TSULabcpp
943	b2877	mocA	MOCDS
944	b0134	panB	MOHMT
945	b0009	mog	MPTAT
946	b2519	pbpC	MPTG2
947	b1069	murJ	MPTG2
948	b0785	moaE	MPTS
949	b0826	moeB	MPTSS
950	b1008	rutE	MSAR
951	b0529	folD	MTHFD
952	b3941	metF	MTHFR2
953	b1059	solA	SARCOX
954	b3996	nudC	NADDP
955	b2411	ligA	NADDP
956	b1109	ndh	NADH9
957	b2284	nuoF	NADH18pp
958	b2288	nuoA	NADH18pp
959	b2280	nuoJ	NADH18pp
960	b2282	nuoH	NADH18pp
961	b2277	nuoM	NADH18pp
962	b2287	nuoB	NADH18pp
963	b2276	nuoN	NADH18pp
964	b2278	nuoL	NADH18pp
965	b2286	nuoC	NADH18pp
966	b2283	nuoG	NADH18pp
967	b2279	nuoK	NADH18pp
968	b2285	nuoE	NADH18pp
969	b2281	nuoI	NADH18pp
970	b2615	nadK	NADK
971	b3028	mdaB	NADPHQR4
972	b1740	nadE	NADS1
973	b1602	pntB	THD2pp
974	b1603	pntA	THD2pp
975	b3962	sthA	NADTRHD
976	b0931	pncB	NAMNPP
977	b1186	nhaB	NAt3_1p5pp
978	b0019	nhaA	NAt3_2pp
979	b2518	ndk	NDPK8
980	b0451	amtB	NH4tpp
981	b2711	norW	NHFRBO
982	b2710	norV	NHFRBO
983	b3477	nikB	NI2uabcpp
984	b3476	nikA	NI2uabcpp
985	b3479	nikD	NI2uabcpp
986	b3480	nikE	NI2uabcpp
987	b3478	nikC	NI2uabcpp
988	b4390	nadR	NMNAT
989	b0639	nadD	NNATr
990	b0751	pnuC	NMNPtpp
991	b1768	pncA	NNAM
992	b1991	cobT	NNDMBRT
993	b0109	nadC	NNDPR
994	b3367	nirC	NO2t2rpp
995	b1223	narK	NO3t7pp
996	b2206	napA	NO3R2bpp
997	b2204	napH	NO3R1bpp
998	b2203	napB	NO3R2bpp
999	b2205	napG	NO3R1bpp
1000	b2202	napC	NO3R2bpp
1001	b1468	narZ	NO3R2pp
1002	b1226	narJ	NO3R2pp
1003	b1227	narI	NO3R2pp
1004	b1225	narH	NO3R2pp
1005	b1465	narV	NO3R2pp
1006	b1224	narG	NO3R2pp
1007	b1466	narW	NO3R2pp
1008	b1467	narY	NO3R2pp
1009	b1469	narU	NO3t7pp
1010	b2552	hmp	NODOy
1011	b4374	yjjG	NTD5
1012	b2291	yfbR	NTD8
1013	b2744	umpG	PPA2
1014	b0480	ushA	UGLCURPpp
1015	b4161	rsgA	NTP5
1016	b0650	hscC	NTP1
1017	b4394	yjjX	NTP12
1018	b0980	appA	PHYTSpp
1019	b2781	mazG	NTPP8
1020	b2954	rdgB	NTPP9
1021	b1759	nudG	NTPP4
1022	b0160	dgt	NTPTP2
1023	b3365	nirB	NTRIR2x
1024	b3366	nirD	NTRIR2x
1025	b4073	nrfD	NTRIR4pp
1026	b4071	nrfB	NTRIR4pp
1027	b4070	nrfA	NTRIR4pp
1028	b4072	nrfC	NTRIR4pp
1029	b2035	wbbH	O16AP3pp
1030	b2027	wzzB	O16AP3pp
1031	b2033	wbbJ	O16AT
1032	b2037	wzxB	O16AUNDtpp
1033	b2034	wbbI	O16GALFT
1034	b2032	wbbK	O16GLCT1
1035	b3114	tdcE	PFL
1036	b0903	pflB	PFL
1037	b0902	pflA	PFL
1038	b2579	grcA	PFL
1039	b0273	argF	OCBT
1040	b4254	argI	OCBT
1041	b3187	ispB	OCTDPS
1042	b0907	serC	PSERT
1043	b0662	ubiF	OMMBLHX
1044	b1281	pyrF	OMPDC
1045	b2907	ubiH	OMPHHX
1046	b0350	mhpD	OP4ENH
1047	b3843	ubiD	OPHBDC
1048	b2311	ubiX	OPHBDC
1049	b3835	ubiB	OPHHX
1050	b2965	speC	ORNDC
1051	b0693	speF	ORNDC
1052	b3642	pyrE	ORPT
1053	b2373	oxc	OXCDC
1054	b1387	paaZ	OXCOAHDH
1055	b1394	paaG	REPHACCOAI
1056	b1014	putA	PROD2
1057	b0386	proC	P5CR
1058	b1391	paaD	PACCOAE
1059	b1390	paaC	PACCOAE
1060	b1392	paaE	PACCOAE
1061	b1388	paaA	PACCOAE
1062	b1389	paaB	PACCOAE
1063	b1398	paaK	PACCOAL
1064	b0133	panC	PANTS
1065	b1278	pgpB	UDCPDPpp
1066	b0087	mraY	PAPPT3
1067	b2762	cysH	PAPSR2
1068	b1489	dosP	PDE4
1069	b0114	aceE	PDH
1070	b0115	aceF	PDH
1071	b1638	pdxH	PYAM5PO
1072	b2564	pdxJ	PDX5PS
1073	b0052	pdxA	PDX5PS
1074	b0766	ybhA	PYDXPP
1075	b2320	pdxB	PERD
1076	b3546	eptB	PETNT181pp
1077	b1723	pfkB	PFK
1078	b3916	pfkA	PFK_3
1079	b3952	pflC	PFL
1080	b3951	pflD	PFL
1081	b3176	glmM	PGAMT
1082	b2913	serA	PGCD
1083	b4025	pgi	PGI
1084	b2926	pgk	PGK
1085	b0767	pgl	PGL
1086	b3385	gph	PGLYCP
1087	b3612	gpmM	PGM
1088	b0755	gpmA	PGM
1089	b4395	ytjC	PGM
1090	b0688	pgm	PGMT
1091	b2690	yqaB	PGMT
1092	b0418	pgpA	PGPP181pp
1093	b1912	pgsA	PGSA181
1094	b2199	ccmC	PHEMEabcpp
1095	b2200	ccmB	PHEMEabcpp
1096	b2197	ccmE	PHEMEabcpp
1097	b2198	ccmD	PHEMEabcpp
1098	b2201	ccmA	PHEMEabcpp
1099	b1713	pheT	PHETRS
1100	b1714	pheS	PHETRS
1101	b1473	yddG	TYRt2rpp
1102	b0576	pheP	TYRt2rpp
1103	b3493	pitA	PIt2rpp
1104	b2987	pitB	PIt2rpp
1105	b3725	pstB	PIuabcpp
1106	b3726	pstA	PIuabcpp
1107	b3727	pstC	PIuabcpp
1108	b3728	pstS	PIuabcpp
1109	b3821	pldA	PLIPA2G181pp
1110	b2048	cpsG	PMANM
1111	b3412	bioH	PMEACPE
1112	b3974	coaA	PNTK
1113	b3258	panF	PNTOt4pp
1114	b1010	rutC	POAACR
1115	b1378	pfo	POR5
1116	b0871	poxB	POX
1117	b4226	ppa	PPA
1118	b2502	ppx	PPA2
1119	b1015	putP	PROt4pp
1120	b0369	hemB	PPBNGS
1121	b3956	ppc	PPC
1122	b3639	dfp	PPNCL2
1123	b3403	pck	PPCK
1124	b2920	scpC	PPCSCT
1125	b2501	ppk	PPKr
1126	b4383	deoB	PPM2
1127	b3380	yhfW	PPM
1128	b3850	hemG	PPPGO3
1129	b2536	hcaT	PPPNt2rpp
1130	b1702	ppsA	PPS
1131	b0383	phoA	PPTHpp
1132	b4005	purD	PRAGSr
1133	b2499	purM	PRAIS
1134	b2026	hisI	PRATPP
1135	b2476	purC	PRASCSi
1136	b2557	purL	PRFGS
1137	b2024	hisA	PRMICI
1138	b0194	proS	PROTRS
1139	b1207	prs	PRPPS
1140	b0908	aroA	PSCVT
1141	b4160	psd	PSD181
1142	b4388	serB	PSP_L
1143	b2585	pssA	PSSA181
1144	b2297	pta	PTAr
1145	b2458	eutD	PTAr
1146	b3634	coaD	PTPATi
1147	b0692	potE	PTRCt2pp
1148	b3073	patA	PTRCTA
1149	b0854	potF	PTRCabcpp
1150	b1123	potD	SPMDabcpp
1151	b0856	potH	PTRCabcpp
1152	b1442	ydcU	SPMDabcpp
1153	b0857	potI	PTRCabcpp
1154	b0855	potG	PTRCabcpp
1155	b1124	potC	SPMDabcpp
1156	b1443	ydcV	SPMDabcpp
1157	b1440	ydcS	SPMDabcpp
1158	b1126	potA	SPMDabcpp
1159	b1125	potB	SPMDabcpp
1160	b1441	ydcT	SPMDabcpp
1161	b1296	puuP	PTRCt2pp
1162	b2407	xapA	PUNP7
1163	b1636	pdxY	PYDXK
1164	b3826	yigL	PYDXPP
1165	b1854	pykA	PYK
1166	b1676	pykF	PYK
1167	b3831	udp	PYNP2r
1168	b1007	rutF	PYROX
1169	b1012	rutA	PYROX
1170	b3029	ygiN	QMO3
1171	b1692	ydiB	SHK3Dr
1172	b0750	nadA	QULNS
1173	b4094	phnN	R15BPK
1174	b1662	ribC	RBFSa
1175	b0415	ribE	RBFSb
1176	b3752	rbsK	RBK
1177	b0063	araB	XYLK2
1178	b4198	ulaF	RBP4E
1179	b3583	sgbE	RBP4E
1180	b0061	araD	RBP4E
1181	b3629	waaS	RHAT1
1182	b2687	luxS	RHCCE
1183	b3748	rbsD	RIBabcpp
1184	b3749	rbsA	RIBabcpp
1185	b3751	rbsB	RIBabcpp
1186	b3750	rbsC	RIBabcpp
1187	b3904	rhaB	RMK
1188	b3902	rhaD	RMPA
1189	b2234	nrdA	RNDR4
1190	b2235	nrdB	RNDR4
1191	b2676	nrdF	RNDR4b
1192	b2675	nrdE	RNDR4b
1193	b4238	nrdD	RNTR4c2
1194	b4237	nrdG	RNTR4c2
1195	b3386	rpe	RPE
1196	b4301	sgcE	RPE
1197	b2914	rpiA	RPI
1198	b0638	cobC	RZ5PP
1199	b1683	sufB	S4FE4ST
1200	b1679	sufE	SCYSDS
1201	b1680	sufS	SCYSDS
1202	b1682	sufC	S4FE4ST
1203	b1681	sufD	S4FE4ST
1204	b1684	sufA	S4FE4ST
1205	b0222	gmhA	S7PI
1206	b1745	astB	SADH
1207	b2751	cysN	SADT2
1208	b2752	cysD	SADT2
1209	b2705	srlD	SBTPD
1210	b2703	srlE	SBTptspp
1211	b2704	srlB	SBTptspp
1212	b2702	srlA	SBTptspp
1213	b2472	dapE	SDPDS
1214	b3591	selA	SELCYSS
1215	b1764	selD	SELNPS
1216	b2264	menD	SEPHCHCS
1217	b0586	entF	SERASr
1218	b3607	cysE	SERAT
1219	b2366	dsdA	SERD_D
1220	b2797	sdaB	SERD_L
1221	b4471	tdcG	SERD_L
1222	b1814	sdaA	SERD_L
1223	b0893	serS	SERTRS2
1224	b2796	sdaC	SERt2rpp
1225	b3116	tdcC	THRt2rpp
1226	b3089	sstT	THRt4pp
1227	b2154	yeiG	SFGTHi
1228	b0355	frmB	SFGTHi
1229	b1744	astE	SGDS
1230	b1746	astD	SGSAD
1231	b2263	menH	SHCHCS3
1232	b3368	cysG	UPP3MT
1233	b3281	aroE	SHK3Dr
1234	b0388	aroL	SHKK
1235	b3390	aroK	SHKK
1236	b3939	metB	SHSL1
1237	b1981	shiA	SKMt2pp
1238	b1206	dauA	SO4t2pp
1239	b1584	speG	SPMDAT2
1240	b1599	mdtI	SPMDt3pp
1241	b1600	mdtJ	SPMDt3pp
1242	b3908	sodA	SPODM
1243	b1656	sodB	SPODM
1244	b1646	sodC	SPODMpp
1245	b1525	sad	SSALy
1246	b2661	gabD	SSALy
1247	b2260	menE	SUCBZL
1248	b2261	menC	SUCBZS
1249	b0721	sdhC	SUCDi
1250	b0722	sdhD	SUCDi
1251	b0724	sdhB	SUCDi
1252	b0723	sdhA	SUCDi
1253	b0728	sucC	SUCOAS
1254	b0729	sucD	SUCOAS
1255	b1521	uxaB	TAGURr
1256	b2464	talA	TALA
1257	b0008	talB	TALA
1258	b3062	ttdB	TARTD
1259	b3061	ttdA	TARTD
1260	b3063	ttdT	TARTRt7pp
1261	b0368	tauD	TAUDO
1262	b3790	wecD	TDPADGAT
1263	b3791	wecE	TDPAGTA
1264	b2038	rfbC	TDPDRE
1265	b2040	rfbD	TDPDRR
1266	b2041	rfbB	TDPGDH
1267	b3788	rffG	TDPGDH
1268	b0915	lpxK	TDSK
1269	b2095	gatZ	TGBPA
1270	b3137	kbaY	TGBPA
1271	b2096	gatY	TGBPA
1272	b3132	kbaZ	TGBPA
1273	b0166	dapD	THDPS
1274	b2480	bcp	THIORDXi
1275	b0066	thiQ	THMabcpp
1276	b0067	thiP	THMabcpp
1277	b0068	thiB	THMabcpp
1278	b3616	tdh	THRD
1279	b3772	ilvA	THRD_L
1280	b3117	tdcB	THRD_L
1281	b1719	thrS	THRTRS
1282	b3823	rhtC	THRt2pp
1283	b3992	thiF	THZPSN3
1284	b3990	thiH	THZPSN3
1285	b0423	thiI	THZPSN3
1286	b4407	thiS	THZPSN3
1287	b2935	tktA	TKT2
1288	b2465	tktB	TKT2
1289	b0997	torA	TMAOR2pp
1290	b0996	torC	TMAOR2pp
1291	b2827	thyA	TMDS
1292	b1106	thiK	TMK
1293	b0417	thiL	TMPK
1294	b3993	thiE	TMPPP
1295	b3919	tpiA	TPI
1296	b0613	citG	TPRDCOAS
1297	b0888	trxB	TRDR
1298	b4239	treC	TRE6PH
1299	b1897	otsB	TRE6PP
1300	b1896	otsA	TRE6PS
1301	b3519	treF	TREH
1302	b1197	treA	TREHpp
1303	b4240	treB	TREptspp
1304	b1260	trpA	TRPS3
1305	b1261	trpB	TRPS3
1306	b3384	trpS	TRPTRS
1307	b3709	tnaB	TRPt2rpp
1308	b0509	glxR	TRSARr
1309	b3125	garR	TRSARr
1310	b3991	thiG	TYRL
1311	b1637	tyrS	TYRTRS
1312	b1907	tyrP	TYRt2rpp
1313	b0179	lpxD	U23GAAT
1314	b0085	murE	UAAGDS
1315	b3787	wecC	UACMAMO
1316	b3786	wecB	UAG2E
1317	b0181	lpxA	UAGAAT
1318	b3189	murA	UAGCVT
1319	b0090	murG	UAGPT3
1320	b0088	murD	UAMAGS
1321	b0091	murC	UAMAS
1322	b3972	murB	UAPGR
1323	b0841	ybjG	UDCPDPpp
1324	b3057	bacA	UDCPDPpp
1325	b0174	ispU	UDCPDPS
1326	b0759	galE	UDPG4E
1327	b2036	glf	UDPGALM
1328	b2028	ugd	UDPGD
1329	b2255	arnA	ULA4NFT
1330	b2253	arnB	UDPKAAT
1331	b0758	galT	UGLT
1332	b0505	allA	UGLYCH
1333	b0086	murF	UGMDDS
1334	b0096	lpxC	UHGADA
1335	b2258	arnF	ULA4Ntppi
1336	b4544	arnE	ULA4Ntppi
1337	b4233	mpl	UM4PL
1338	b0171	pyrH	UMPK
1339	b2256	arnD	UPLA4FNF
1340	b2254	arnC	UPLA4FNT
1341	b3803	hemX	UPP3MT
1342	b3804	hemD	UPP3S
1343	b3997	hemE	UPPDC1
1344	b2498	upp	UPPRT
1345	b1011	rutB	URACPAH
1346	b2497	uraA	URAt2pp
1347	b1006	rutG	URAt2rpp
1348	b0517	allD	URDGLYCD
1349	b0524	lpxH	USHD
1350	b4258	valS	VALTRS
1351	b2682	ygaZ	VALt2rpp
1352	b2683	ygaH	VALt2rpp
1353	b3572	avtA	VPAMTr
1354	b4197	ulaE	X5PL3E
1355	b2882	xanQ	XANt2pp
1356	b3565	xylA	XYLI2
1357	b3579	yiaO	XYLUt2pp
1358	b3577	yiaM	XYLUt2pp
1359	b3578	yiaN	XYLUt2pp
1360	b3567	xylG	XYLabcpp
1361	b3568	xylH	XYLabcpp
1362	b3566	xylF	XYLabcpp
1363	b4031	xylE	XYLt2pp
1364	b1857	znuA	ZNabcpp
1365	b1859	znuB	ZNabcpp
1366	b1858	znuC	ZNabcpp
